model,Body_Type,transmission,No_of_owners,centralVariantId,oem,modelYear,Mileage,Fuel_Type,Kilometer,price,City,Car_Age
Alto,Hatchback,Manual,1,10332,Maruti,2015,24.39,Petrol,28975,323000,Chennai,9
WR-V,SUV,Manual,1,5668,Honda,2018,17.5,Petrol,30742,770000,Chennai,6
S-Presso,Hatchback,Manual,1,7173,Maruti,2022,21.7,Petrol,10363,492000,Chennai,2
City,Sedan,Manual,1,1279,Honda,2015,17.4,Petrol,100000,650000,Chennai,9
City,Sedan,Manual,1,1215,Honda,2016,17.8,Petrol,75555,633000,Chennai,8
Creta,SUV,Manual,2,6430,Hyundai,2018,15.8,Petrol,60929,982000,Chennai,6
X5,SUV,Automatic,2,370,BMW,2009,11.7,Diesel,78000,1350000,Chennai,15
Vitara,SUV,Manual,1,4300,Maruti,2017,24.3,Diesel,120000,900000,Chennai,7
Amaze,Sedan,Manual,1,1164,Honda,2014,25.8,Diesel,143185,370000,Chennai,10
Ciaz,Sedan,Manual,1,5724,Maruti,2017,20.73,Petrol,115434,620000,Chennai,7
Ignis,Hatchback,Manual,1,7585,Maruti,2018,20.89,Petrol,43000,480000,Chennai,6
Brio,Hatchback,Manual,1,5454,Honda,2015,18.5,Petrol,63309,430000,Chennai,9
Swift,Hatchback,Manual,1,4165,Maruti,2015,25.2,Diesel,150000,500000,Chennai,9
7,Sedan,Automatic,1,304,BMW,2019,16.46,Diesel,53000,7600000,Chennai,5
Baleno,Hatchback,Manual,1,6776,Maruti,2019,21.01,Petrol,39386,790000,Chennai,5
6,Sedan,Automatic,1,6470,BMW,2018,17.09,Diesel,42000,5200000,Chennai,6
Triber,MUV,Automatic,1,6996,Renault,2021,18.2,Petrol,29257,776000,Chennai,3
Baleno,Hatchback,Automatic,1,3960,Maruti,2017,21.4,Petrol,61829,702000,Chennai,7
Alto,Hatchback,Manual,1,3946,Maruti,2014,23.95,Petrol,83901,290000,Chennai,10
Celerio,Hatchback,Manual,1,10356,Maruti,2014,25.24,Petrol,33295,383000,Chennai,10
Celerio,Hatchback,Manual,1,10356,Maruti,2015,25.24,Petrol,33610,411000,Chennai,9
Ciaz,Sedan,Manual,1,4001,Maruti,2014,26.21,Diesel,95600,615000,Chennai,10
Tiago,Hatchback,Manual,1,2983,Tata,2018,23.84,Petrol,20960,515000,Chennai,6
3,Sedan,Automatic,1,7103,BMW,2016,20.37,Diesel,66000,2575000,Chennai,8
i20,Hatchback,Manual,2,1481,Hyundai,2015,18.6,Petrol,85105,507000,Chennai,9
EON,Hatchback,Manual,2,1493,Hyundai,2016,21.1,Petrol,44519,322000,Chennai,8
Baleno,Hatchback,Manual,1,3962,Maruti,2017,21.4,Petrol,54024,575000,Chennai,7
Baleno,Hatchback,Manual,1,6779,Maruti,2020,21.01,Petrol,20027,850000,Chennai,4
A6,Sedan,Automatic,1,5956,Audi,2019,18.53,Diesel,44000,3700000,Chennai,5
Q3,SUV,Automatic,1,91,Audi,2014,15.73,Diesel,58000,1800000,Chennai,10
Amaze,Sedan,Manual,1,1173,Honda,2013,25.8,Diesel,67905,425000,Chennai,11
Baleno,Hatchback,Manual,1,6779,Maruti,2017,21.01,Petrol,62604,650000,Chennai,7
Innova,MUV,Manual,1,2355,Toyota,2009,12.8,Diesel,120000,750000,Chennai,15
Amaze,Sedan,Manual,1,1173,Honda,2014,25.8,Diesel,105781,450000,Chennai,10
Ciaz,Sedan,Manual,1,5723,Maruti,2017,20.73,Petrol,68724,720000,Chennai,7
Celerio,Hatchback,Automatic,1,3982,Maruti,2014,23.1,Petrol,67000,425000,Chennai,10
i10,Hatchback,Manual,2,1586,Hyundai,2010,20.36,Petrol,110273,235000,Chennai,14
Celerio,Hatchback,Automatic,2,3982,Maruti,2016,23.1,Petrol,65628,437000,Chennai,8
Polo,Hatchback,Manual,1,1973,Volkswagen,2014,16.47,Petrol,106075,409999,Chennai,10
Ignis,Hatchback,Manual,1,7587,Maruti,2022,20.89,Petrol,6023,731000,Chennai,2
Tiago,Hatchback,Manual,2,2983,Tata,2018,23.84,Petrol,38999,501999,Chennai,6
Innova,MUV,Manual,1,7313,Toyota,2018,13.68,Diesel,105000,2050000,Chennai,6
New,SUV,Automatic,1,8543,Tata,2022,14.08,Diesel,7811,1963000,Chennai,2
Alto,Hatchback,Manual,2,3958,Maruti,2011,20.92,Petrol,58747,222000,Chennai,13
Harrier,SUV,Manual,1,6711,Tata,2019,17,Diesel,34965,1497000,Chennai,5
Ecosport,SUV,Manual,2,909,Ford,2015,22.7,Diesel,106360,529000,Chennai,9
Ritz,Hatchback,Manual,2,4141,Maruti,2010,18.5,Petrol,162049,210000,Chennai,14
GLE,SUV,Automatic,1,6732,Mercedes-Benz,2020,19.18624891,Diesel,30000,7450000,Chennai,4
Urban,SUV,Manual,1,7971,Toyota,2021,17.03,Petrol,26000,975000,Chennai,3
Seltos,SUV,Automatic,1,8948,Kia,2020,19.18624891,Petrol,25000,1450000,Chennai,4
GLC,SUV,Automatic,1,7237,Mercedes-Benz,2021,19.18624891,Diesel,35000,6200000,Chennai,3
Swift,Hatchback,Manual,1,7083,Maruti,2020,21.21,Petrol,57000,595000,Chennai,4
Creta,SUV,Manual,1,5362,Hyundai,2017,15.29,Petrol,49000,767000,Chennai,7
i20,Hatchback,Manual,1,8153,Hyundai,2022,21,Petrol,30000,825000,Chennai,2
