model,Body,transmission,owners,VIN,model_year,Mileage,Fuel,Kilometer,price,City,Car_Age,model_encoded,Body_encoded,transmission_encoded,Fuel_encoded,price_encoded,City_encoded
0.290322581,0.888888889,0,1,0.111872352,2012,0.360400445,1,0.720116162,510000,0.2,0.289473684,9,8,0,4,851,1
0.612903226,0.222222222,1,1,0.391688452,2013,0.438264739,1,0.723691197,350000,0.2,0.263157895,19,2,1,4,594,1
0.290322581,0.888888889,1,1,0.108807356,2017,0.39747868,1,0.739145431,630000,0.2,0.157894737,9,8,1,4,1011,1
0.612903226,0.222222222,1,1,0.388082575,2015,0.497960697,1,0.692620936,410000,0.2,0.210526316,19,2,1,4,708,1
0.290322581,0.777777778,1,1,0.510502118,2017,0.386355209,1,0.664227711,725000,0.2,0.157894737,9,7,1,4,1133,1
0.290322581,0.888888889,1,1,0.104840891,2015,0.404894327,1,0.63384948,466000,0.2,0.210526316,9,8,1,4,764,1
0.612903226,0.222222222,1,1,0.782114847,2021,0.673340749,1,0.64086273,503000,0.2,0.052631579,19,2,1,4,844,1
0.838709677,0.222222222,1,2,0.458667628,2018,0.670745273,1,0.692375813,309000,0.2,0.131578947,26,2,1,4,553,1
0.290322581,0.888888889,0,1,0.109258091,2016,0.404894327,1,0.75754069,640000,0.2,0.184210526,9,8,0,4,1021,1
0.322580645,0.777777778,1,1,0.714504643,2021,0.387096774,1,0.609420999,841000,0.2,0.052631579,10,7,1,4,1259,1
0.322580645,0.222222222,1,1,0.140899666,2011,0.492398962,1,0.691558963,288000,0.2,0.315789474,10,2,1,4,444,1
0.322580645,0.777777778,1,1,0.713873614,2021,0.404894327,1,0.676596286,940000,0.2,0.052631579,10,7,1,4,1343,1
0.967741935,0.222222222,0,1,0.174524475,2018,0.375602521,1,0.674159627,845000,0.2,0.131578947,30,2,0,4,1263,1
0.612903226,0.222222222,1,2,0.388082575,2016,0.497960697,1,0.694728564,400000,0.2,0.184210526,19,2,1,4,698,1
0.612903226,0.888888889,1,3,0.381591995,2013,0.445680386,1,0.682763081,425000,0.2,0.263157895,19,8,1,4,724,1
0.903225806,0.888888889,1,2,0.240241594,2008,0.367816092,0.25,0.76792516,200000,0.2,0.394736842,28,8,1,1,364,1
0.967741935,0.222222222,1,1,0.697557018,2020,0.395253986,1,0.638103891,750000,0.2,0.078947368,30,2,1,4,1158,1
0.322580645,0.777777778,0,1,0.580005409,2019,0.390063033,0.25,0.693153656,1690000,0.2,0.105263158,10,7,0,1,299,1
0.322580645,0.222222222,1,1,0.14107996,2013,0.492398962,1,0.749510127,310000,0.2,0.263157895,10,2,1,4,554,1
0.612903226,0.222222222,0,2,0.933291265,2016,0.726733407,1,0.714925772,437000,0.2,0.184210526,19,2,0,4,736,1
0.580645161,0.777777778,0,1,0.755972235,2022,0.367816092,1,0.622199125,1026000,0.2,0.026315789,18,7,0,4,89,1
0.612903226,0.222222222,1,1,0.375011268,2015,0.67185762,0.25,0.746517109,560000,0.2,0.210526316,19,2,1,1,901,1
0.612903226,0.222222222,1,1,0.50013522,2017,0.512050426,1,0.64941431,532000,0.2,0.157894737,19,2,1,4,873,1
0.612903226,0.222222222,1,1,0.930947444,2015,0.641824249,1,0.661987876,323000,0.2,0.210526316,19,2,1,4,567,1
0.290322581,0.777777778,1,1,0.510502118,2018,0.386355209,1,0.665801886,770000,0.2,0.131578947,9,7,1,4,1175,1
0.612903226,0.222222222,1,1,0.646173262,2022,0.542083797,1,0.595743514,492000,0.2,0.026315789,19,2,1,4,789,1
0.290322581,0.888888889,1,1,0.114847201,2015,0.382647386,1,0.741800481,650000,0.2,0.210526316,9,8,1,4,1031,1
0.290322581,0.888888889,1,1,0.109077797,2016,0.39747868,1,0.723739823,633000,0.2,0.184210526,9,8,1,4,1014,1
0.322580645,0.777777778,1,2,0.579194086,2018,0.32332221,1,0.709877397,982000,0.2,0.131578947,10,7,1,4,1371,1
0.064516129,0.777777778,0,2,0.032903633,2009,0.171301446,0.25,0.725791821,1350000,0.2,0.368421053,2,7,0,1,207,1
0.612903226,0.777777778,1,1,0.387181105,2017,0.638487208,0.25,0.753547701,900000,0.2,0.157894737,19,7,1,1,1314,1
0.290322581,0.888888889,1,1,0.104480303,2014,0.694104561,0.25,0.764929238,370000,0.2,0.236842105,9,8,1,1,613,1
0.612903226,0.888888889,1,1,0.515550347,2017,0.506117909,1,0.751048227,620000,0.2,0.157894737,19,8,1,4,1001,1
0.612903226,0.222222222,1,1,0.683313801,2018,0.512050426,1,0.687422727,480000,0.2,0.131578947,19,2,1,4,777,1
0.290322581,0.222222222,1,1,0.491210673,2015,0.423433445,1,0.712346275,430000,0.2,0.210526316,9,2,1,4,729,1
0.612903226,0.222222222,1,1,0.375011268,2015,0.67185762,0.25,0.76792516,500000,0.2,0.210526316,19,2,1,1,841,1
0.612903226,0.222222222,1,1,0.610384927,2019,0.516499815,1,0.681766406,790000,0.2,0.105263158,19,2,1,4,1193,1
0.838709677,0.444444444,0,1,0.630217254,2021,0.412309974,1,0.662611908,776000,0.2,0.052631579,26,4,0,4,1181,1
0.612903226,0.222222222,0,1,0.356531146,2017,0.530960326,1,0.710822164,702000,0.2,0.157894737,19,2,0,4,1111,1
0.612903226,0.222222222,1,1,0.355269089,2014,0.625509826,1,0.730490699,290000,0.2,0.236842105,19,2,1,4,446,1
0.612903226,0.222222222,1,1,0.933110971,2014,0.673340749,1,0.670941939,383000,0.2,0.236842105,19,2,1,4,626,1
0.612903226,0.222222222,1,1,0.933110971,2015,0.673340749,1,0.671548638,411000,0.2,0.210526316,19,2,1,4,709,1
0.612903226,0.888888889,1,1,0.36022717,2014,0.709306637,0.25,0.738901244,615000,0.2,0.236842105,19,8,1,1,996,1
